name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Auckland,New Zealand",9/11/2023,18.9,12,15.5,18.9,12,15.5,10,70.6,0,0,0,,0,0,26.6,27.7,212.5,1017.7,3.6,13.7,273.3,23.6,10,10,2023-11-09T06:08:28,2023-11-09T20:01:30,0.86,Clear,Clear conditions throughout the day.,clear-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",10/11/2023,20.5,10.5,15.4,20.5,10.5,15.4,10.2,72.6,0,0,0,,0,0,15.5,18.4,191,1023.7,29.5,13.5,270.5,23.5,10,10,2023-11-10T06:07:35,2023-11-10T20:02:33,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",11/11/2023,19.4,10.9,15.6,19.4,10.9,15.6,10.5,72.9,0,0,0,,0,0,22,22.3,227.4,1027.7,29,13.4,284,24.6,10,10,2023-11-11T06:06:43,2023-11-11T20:03:36,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",12/11/2023,18.5,11.1,15.6,18.5,11.1,15.6,10.2,71.2,0,0,0,,0,0,26.3,27.1,217,1025.1,28.6,13.5,389.3,33.5,10,10,2023-11-12T06:05:52,2023-11-12T20:04:40,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",13/11/2023,19.2,13.1,16.2,19.2,13.1,16.2,9.7,66,0,0,0,,0,0,21.2,24.1,232.6,1018.9,43,13.5,302.8,26.2,10,10,2023-11-13T06:05:04,2023-11-13T20:05:43,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",14/11/2023,19,11.9,15.1,19,11.9,15.1,11.8,81.7,3.875,100,4.17,rain,0,0,37.1,23.5,347.3,1014.7,52.5,12.6,121.4,10.6,7,10,2023-11-14T06:04:17,2023-11-14T20:06:46,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",15/11/2023,18.9,14.1,16.2,18.9,14.1,16.2,13,82,0.808,100,8.33,rain,0,0,40.3,27.7,256.7,1014.8,71.5,12.7,228.4,19.7,10,10,2023-11-15T06:03:32,2023-11-15T20:07:50,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",16/11/2023,20,12,16.3,20,12,16.3,12.2,77.7,0,0,0,,0,0,14.8,18.4,243.7,1016.3,39.7,12.1,278.9,24,10,10,2023-11-16T06:02:48,2023-11-16T20:08:53,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",17/11/2023,22,13,17.6,22,13,17.6,14.5,82.9,0,0,0,rain,0,0,61.2,40.6,323.3,1012.6,76.6,12.9,145.2,12.5,8,10,2023-11-17T06:02:07,2023-11-17T20:09:56,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",18/11/2023,18.5,16.1,17.6,18.5,16.1,17.6,16.4,93.2,13.768,100,25,rain,0,0,45.7,28.3,18.5,1013.4,93.6,10.4,63.6,5.5,3,10,2023-11-18T06:01:27,2023-11-18T20:10:59,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",19/11/2023,20.9,15.9,18,20.9,15.9,18,16.1,88.8,28.092,100,16.67,rain,0,0,54,32.7,54.3,1009.3,90.9,9.5,190.5,16.2,9,10,2023-11-19T06:00:49,2023-11-19T20:12:02,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",20/11/2023,23,16.1,18.6,23,16.1,18.6,16.5,88,3.909,100,16.67,rain,0,0,32,27.9,170.7,1014.6,81,13.1,177.3,15.1,10,10,2023-11-20T06:00:12,2023-11-20T20:13:05,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",21/11/2023,22.6,16.5,19.3,22.6,16.5,19.3,15.7,80.4,1.358,100,12.5,rain,0,0,34.9,26.5,206,1019.8,64.9,12.3,290.9,25,10,10,2023-11-21T05:59:38,2023-11-21T20:14:07,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",22/11/2023,22.5,15.9,19.1,22.5,15.9,19.1,14.9,77.6,0.192,100,4.17,rain,0,0,16.6,21.7,200.4,1020.7,39.7,13.2,207.2,17.7,9,10,2023-11-22T05:59:06,2023-11-22T20:15:10,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",23/11/2023,20.1,16.1,17.9,20.1,16.1,17.9,14.3,79.6,0,0,0,,0,0,33.1,31.7,228.7,1017.2,63.9,12.6,332.5,28.7,10,10,2023-11-23T05:58:35,2023-11-23T20:16:11,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",24/11/2023,18.3,11.5,15.8,18.3,11.5,15.8,11.3,75.2,0.983,100,8.33,rain,0,0,52.9,43.9,216.9,1009.7,82.3,12.4,243.5,21.2,10,10,2023-11-24T05:58:06,2023-11-24T20:17:13,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",25/11/2023,18.6,10.5,14.9,18.6,10.5,14.9,8.4,65.6,0.241,100,8.33,rain,0,0,49.7,32.9,189.9,1009.5,42.4,13.4,290.9,25.3,9,10,2023-11-25T05:57:40,2023-11-25T20:18:14,0.41,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",26/11/2023,18.1,13.4,15.7,18.1,13.4,15.7,10.9,73.6,0,0,0,,0,0,36.7,37.1,219.5,1011,49.2,12.8,316.3,27.3,10,10,2023-11-26T05:57:15,2023-11-26T20:19:14,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",27/11/2023,19.6,13.9,16.4,19.6,13.9,16.4,10.2,67.1,0,0,0,,0,0,37.1,32.3,229.4,1014.4,48.7,13.5,219.3,19.2,8,10,2023-11-27T05:56:52,2023-11-27T20:20:14,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",28/11/2023,20.6,14.9,17.6,20.6,14.9,17.6,13,75.3,0,0,0,rain,0,0,41,32.9,285.8,1013.1,91.7,12.9,221.1,19.1,9,10,2023-11-28T05:56:32,2023-11-28T20:21:14,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",29/11/2023,19.2,15,16.9,19.2,15,16.9,11.7,72.2,1.958,100,4.17,rain,0,0,38.2,27.1,236.1,1012.4,56.5,13.2,203.5,17.4,10,10,2023-11-29T05:56:13,2023-11-29T20:22:12,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",30/11/2023,19.1,14,16.1,19.1,14,16.1,8.8,62.3,0,0,0,,0,0,18,20.5,223.7,1016,92.2,13.4,141.4,12,4,10,2023-11-30T05:55:56,2023-11-30T20:23:10,0.58,Overcast,Cloudy skies throughout the day.,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",1/12/2023,19,14.3,16.2,19,14.3,16.2,9.4,64.4,0,0,0,,0,0,21.6,17.2,212.1,1019.2,61.6,13.7,263.1,22.6,10,10,2023-12-01T05:55:42,2023-12-01T20:24:08,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2/12/2023,22.4,15.8,18.3,22.4,15.8,18.3,12.7,70.1,0,0,0,rain,0,0,40.7,32.3,39.4,1021.4,68.1,13.7,259.8,22.5,10,10,2023-12-02T05:55:29,2023-12-02T20:25:04,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",3/12/2023,19.4,17.1,18.2,19.4,17.1,18.2,16.2,88.5,5.275,100,12.5,rain,0,0,59.4,37.6,3.1,1012.3,88.1,10.7,76.4,6.7,3,10,2023-12-03T05:55:19,2023-12-03T20:26:00,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",4/12/2023,20.6,17.5,18.6,20.6,17.5,18.6,17,91,4.757,100,12.5,rain,0,0,33.5,23.4,229.7,1010.2,91.1,11.6,128,11.2,8,10,2023-12-04T05:55:10,2023-12-04T20:26:55,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",5/12/2023,19.1,15.1,17.4,19.1,15.1,17.4,15.8,90.8,10.443,100,20.83,rain,0,0,36.7,19.8,124.7,1013.7,96.1,12.1,75.4,6.5,3,10,2023-12-05T05:55:04,2023-12-05T20:27:49,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",6/12/2023,21,14.9,17.5,21,14.9,17.5,15.1,86.3,13.883,100,8.33,rain,0,0,28.1,27.1,208.5,1011.5,69.7,13.1,272,23.8,10,10,2023-12-06T05:55:00,2023-12-06T20:28:42,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",7/12/2023,20,15.6,17.3,20,15.6,17.3,13.1,76.4,0.575,100,4.17,rain,0,0,37.8,35.3,221.6,1012.5,83.3,12.5,149.8,12.9,5,10,2023-12-07T05:54:58,2023-12-07T20:29:33,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",8/12/2023,19.6,14.2,16.9,19.6,14.2,16.9,11,68.3,0,0,0,,0,0,32.4,24.7,215.1,1018.5,31.1,10,462.5,40.1,10,10,2023-12-08T05:54:58,2023-12-08T20:30:24,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",9/12/2023,22,11.2,17,22,11.2,17,12.5,75.7,0,0,0,,0,0,14.4,22.3,222.5,1022.7,33.3,10,340.4,29.3,10,10,2023-12-09T05:55:00,2023-12-09T20:31:14,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",10/12/2023,20,13,17.2,20,13,17.2,13.8,81.6,0.9,100,16.67,rain,0,0,40.3,31.7,260.2,1018.3,81.5,9.8,234.1,20.3,9,10,2023-12-10T05:55:04,2023-12-10T20:32:02,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"NZAA,C4778"
"Auckland,New Zealand",11/12/2023,21,14,17.5,21,14,17.5,13,75.6,0,0,0,,0,0,29.9,27.7,221.1,1013.8,67.4,10,325.5,27.9,10,10,2023-12-11T05:55:10,2023-12-11T20:32:49,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"NZAA,C4778"
